Colony,C_aver,C_spec,C_unspec,C_sp/C_unsp
Narmonka,-0.0447,0.6748,0.2691,2.5077
Kichketan,0.4002,0.8595,0.2014,4.2682
Mamadysh,-0.0637,0.7126,0.2394,2.9762
Manan-Dur,0.2357,0.7273,0.3354,2.1684
