Colony,C_aver,C_spec,C_unspec,C_sp/C_unsp
Narmonka,0.4585,0.7681,0.2338,3.2851
Kichketan,0.6602,0.9446,0.2024,4.6668
Mamadysh,0.0677,0.7099,0.2675,2.6538
Manan-Dur,0.2983,0.8796,0.3167,2.7779
