Location,Species,C_aver,C_spec,C_unspec,C_sp/C_unsp
Dried bog 1,Birch,0.6365955414075412,0.8787267785771202,0.17095788433949577,5.140019028500057
Dried bog 1,Spruce,0.534609958268023,0.8717048520748065,0.2120970184734765,4.109934492944399
Dried bog 1,Pine,-0.025232006803162454,0.6774880350092674,0.18442855757771368,3.6734443076896617
Dried bog 1,Larch,0.44647387976941727,0.7866259584033939,0.18035616689918,4.361514063686671
Dried bog 2,Birch,0.49217907189528504,0.8363991828086262,0.23204739586943263,3.60443253273675
Dried bog 2,Spruce,0.793043633731662,0.8773070690482238,0.321440309391246,2.7293001015015697
Dried bog 2,Pine,0.40242869760338457,0.7658008340160435,0.20765516856250416,3.6878486546581555
Dried bog 2,Larch,0.7970123201888225,0.9102243215276832,0.20387453879934098,4.464629702601321
